X,Y,Max_Depth_m,Time_of_Arrival,Duration_timesteps,Hazard_Class,Hazard_Index
407454.40595106815,4361105.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361080.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407454.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407529.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407554.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407454.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407529.40595106815,4361055.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407554.40595106815,4361055.277999514,4.3484955,1,72,4,2.1742477
407579.40595106815,4361055.277999514,5.089943,1,72,4,2.5449715
407604.40595106815,4361055.277999514,5.3709183,1,72,4,2.6854591
407629.40595106815,4361055.277999514,4.8341446,1,72,4,2.4170723
407654.40595106815,4361055.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407679.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361030.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407454.40595106815,4361030.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407479.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361030.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407529.40595106815,4361030.277999514,4.614872,1,72,4,2.307436
407554.40595106815,4361030.277999514,4.953129,1,72,4,2.4765644
407579.40595106815,4361030.277999514,4.99728,1,72,4,2.49864
407604.40595106815,4361030.277999514,4.9012947,1,72,4,2.4506474
407629.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407654.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407679.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407404.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407429.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407454.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407504.40595106815,4361005.277999514,1.7597847,18,55,2,0.87989235
407529.40595106815,4361005.277999514,5.0794945,1,72,4,2.5397472
407554.40595106815,4361005.277999514,5.1962585,1,72,4,2.5981293
407579.40595106815,4361005.277999514,4.613701,1,72,4,2.3068504
407604.40595106815,4361005.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407654.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407679.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407404.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407454.40595106815,4360980.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407504.40595106815,4360980.277999514,2.4513435,14,59,2,1.2256718
407529.40595106815,4360980.277999514,5.1540184,1,72,4,2.5770092
407554.40595106815,4360980.277999514,3.9191055,1,72,3,1.9595528
407579.40595106815,4360980.277999514,0.3955574,23,10,0,0.1977787
407604.40595106815,4360980.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407679.40595106815,4360980.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360955.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360955.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407504.40595106815,4360955.277999514,4.1615257,2,71,4,2.0807629
407529.40595106815,4360955.277999514,4.538948,1,72,4,2.269474
407554.40595106815,4360955.277999514,0.63409424,23,50,1,0.31704712
407579.40595106815,4360955.277999514,0.30916977,24,13,0,0.15458488
407604.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407629.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407679.40595106815,4360955.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407479.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407504.40595106815,4360930.277999514,3.9050407,2,71,3,1.9525204
407529.40595106815,4360930.277999514,4.376808,2,71,4,2.188404
407554.40595106815,4360930.277999514,0.6209526,24,18,1,0.3104763
407579.40595106815,4360930.277999514,0.41033554,24,49,0,0.20516777
407604.40595106815,4360930.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360930.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407679.40595106815,4360930.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360905.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407454.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407479.40595106815,4360905.277999514,0.81372833,20,53,1,0.40686417
407504.40595106815,4360905.277999514,3.4947472,2,71,3,1.7473736
407529.40595106815,4360905.277999514,4.5117264,2,71,4,2.2558632
407554.40595106815,4360905.277999514,0.5685158,24,39,0,0.2842579
407579.40595106815,4360905.277999514,0.3447914,24,49,0,0.1723957
407604.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407629.40595106815,4360905.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407654.40595106815,4360905.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360880.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407404.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407479.40595106815,4360880.277999514,0.9583168,19,16,1,0.4791584
407504.40595106815,4360880.277999514,3.4497337,2,71,3,1.7248669
407529.40595106815,4360880.277999514,4.4386177,2,71,4,2.2193089
407554.40595106815,4360880.277999514,0.3456421,24,39,0,0.17282104
407579.40595106815,4360880.277999514,0.22387695,24,34,0,0.11193848
407604.40595106815,4360880.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360880.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360855.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407379.40595106815,4360855.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360855.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360855.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360855.277999514,0.6988144,21,10,1,0.3494072
407479.40595106815,4360855.277999514,1.2179794,18,21,1,0.6089897
407504.40595106815,4360855.277999514,3.3855782,2,71,3,1.6927891
407529.40595106815,4360855.277999514,4.2509804,2,71,4,2.1254902
407554.40595106815,4360855.277999514,0.39528275,24,49,0,0.19764137
407579.40595106815,4360855.277999514,0.16295624,25,29,0,0.08147812
407604.40595106815,4360855.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360855.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360855.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360830.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360830.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360830.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360830.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360830.277999514,0.85824203,20,13,1,0.42912102
407479.40595106815,4360830.277999514,1.2772293,18,31,1,0.63861465
407504.40595106815,4360830.277999514,3.4781075,2,71,3,1.7390537
407529.40595106815,4360830.277999514,4.068722,2,71,4,2.034361
407554.40595106815,4360830.277999514,0.48945236,25,48,0,0.24472618
407579.40595106815,4360830.277999514,0.22338486,25,35,0,0.11169243
407604.40595106815,4360830.277999514,0.0058555603,-1,0,0,0.0029277802
407629.40595106815,4360830.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360830.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360805.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360805.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360805.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360805.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360805.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360805.277999514,1.5424805,15,25,2,0.77124023
407479.40595106815,4360805.277999514,1.6865311,14,59,2,0.84326553
407504.40595106815,4360805.277999514,3.7463036,2,71,3,1.8731518
407529.40595106815,4360805.277999514,4.146511,2,71,4,2.0732555
407554.40595106815,4360805.277999514,0.38313675,25,48,0,0.19156837
407579.40595106815,4360805.277999514,0.1310997,25,26,0,0.06554985
407604.40595106815,4360805.277999514,0.00038528442,-1,0,0,0.00019264221
407629.40595106815,4360805.277999514,0.0,-1,0,0,0.0
407654.40595106815,4360805.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407329.40595106815,4360780.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360780.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360780.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360780.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360780.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360780.277999514,1.1947632,17,22,1,0.5973816
407479.40595106815,4360780.277999514,1.9221611,13,60,2,0.96108055
407504.40595106815,4360780.277999514,3.8427048,2,71,3,1.9213524
407529.40595106815,4360780.277999514,4.1398277,2,71,4,2.0699139
407554.40595106815,4360780.277999514,0.59893036,25,48,0,0.29946518
407579.40595106815,4360780.277999514,0.10815048,25,20,0,0.05407524
407604.40595106815,4360780.277999514,3.8146973e-05,-1,0,0,1.9073486e-05
407629.40595106815,4360780.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360755.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360755.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360755.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360755.277999514,0.00078201294,-1,0,0,0.00039100647
407429.40595106815,4360755.277999514,0.31277847,22,18,0,0.15638924
407454.40595106815,4360755.277999514,1.180893,18,24,1,0.5904465
407479.40595106815,4360755.277999514,2.0929832,12,58,2,1.0464916
407504.40595106815,4360755.277999514,4.0175743,3,70,4,2.0087872
407529.40595106815,4360755.277999514,4.0497856,2,71,4,2.0248928
407554.40595106815,4360755.277999514,0.48788452,25,48,0,0.24394226
407579.40595106815,4360755.277999514,0.09039307,26,19,0,0.045196533
407604.40595106815,4360755.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360755.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360730.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360730.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360730.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360730.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360730.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360730.277999514,1.3785515,18,35,1,0.68927574
407454.40595106815,4360730.277999514,1.7783623,14,26,2,0.88918114
407479.40595106815,4360730.277999514,2.2858963,11,62,2,1.1429482
407504.40595106815,4360730.277999514,4.2989693,3,70,4,2.1494846
407529.40595106815,4360730.277999514,3.990017,3,70,3,1.9950085
407554.40595106815,4360730.277999514,0.33831787,25,48,0,0.16915894
407579.40595106815,4360730.277999514,0.027736664,-1,0,0,0.013868332
407604.40595106815,4360730.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360730.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360705.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360705.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360705.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360705.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360705.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360705.277999514,0.9781418,19,13,1,0.4890709
407454.40595106815,4360705.277999514,2.447052,3,60,2,1.223526
407479.40595106815,4360705.277999514,3.8976898,3,70,3,1.9488449
407504.40595106815,4360705.277999514,4.4960556,3,70,4,2.2480278
407529.40595106815,4360705.277999514,4.1195793,3,70,4,2.0597897
407554.40595106815,4360705.277999514,0.3523178,25,48,0,0.1761589
407579.40595106815,4360705.277999514,0.050483704,26,1,0,0.025241852
407604.40595106815,4360705.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407629.40595106815,4360705.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360680.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360680.277999514,1.241066,17,27,1,0.620533
407454.40595106815,4360680.277999514,1.238842,17,27,1,0.619421
407479.40595106815,4360680.277999514,3.7490005,3,70,3,1.8745003
407504.40595106815,4360680.277999514,4.5600166,3,70,4,2.2800083
407529.40595106815,4360680.277999514,3.9583168,3,70,3,1.9791584
407554.40595106815,4360680.277999514,0.3995018,24,49,0,0.1997509
407579.40595106815,4360680.277999514,0.12212372,26,3,0,0.06106186
407604.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407629.40595106815,4360680.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360655.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360655.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360655.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360655.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360655.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360655.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360655.277999514,1.0963593,17,29,1,0.5481796
407454.40595106815,4360655.277999514,1.5836143,15,39,2,0.7918072
407479.40595106815,4360655.277999514,2.3621025,3,63,2,1.1810513
407504.40595106815,4360655.277999514,4.4308014,3,70,4,2.2154007
407529.40595106815,4360655.277999514,1.5602226,15,58,2,0.7801113
407554.40595106815,4360655.277999514,0.34999847,23,50,0,0.17499924
407579.40595106815,4360655.277999514,0.05880356,26,3,0,0.02940178
407604.40595106815,4360655.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360630.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360630.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360630.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360630.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360630.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360630.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360630.277999514,0.2995224,22,11,0,0.1497612
407454.40595106815,4360630.277999514,1.8842239,3,60,2,0.94211197
407479.40595106815,4360630.277999514,3.4970322,3,70,3,1.7485161
407504.40595106815,4360630.277999514,4.748539,3,70,4,2.3742695
407529.40595106815,4360630.277999514,2.6579132,3,65,3,1.3289566
407554.40595106815,4360630.277999514,0.7962532,21,52,1,0.3981266
407579.40595106815,4360630.277999514,0.09210205,26,22,0,0.046051025
407604.40595106815,4360630.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360605.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360605.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360605.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360605.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360605.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360605.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360605.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360605.277999514,2.002304,4,69,2,1.001152
407479.40595106815,4360605.277999514,4.3115005,3,70,4,2.1557503
407504.40595106815,4360605.277999514,5.0092125,3,70,4,2.5046062
407529.40595106815,4360605.277999514,2.5125656,3,65,3,1.2562828
407554.40595106815,4360605.277999514,1.7155113,17,56,2,0.85775566
407579.40595106815,4360605.277999514,1.896019,17,56,2,0.9480095
407604.40595106815,4360605.277999514,2.1100655,17,56,2,1.0550327
407254.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407354.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360580.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360580.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360580.277999514,2.9183578,4,39,3,1.4591789
407479.40595106815,4360580.277999514,4.683159,4,69,4,2.3415794
407504.40595106815,4360580.277999514,4.8836823,3,70,4,2.4418411
407529.40595106815,4360580.277999514,1.8275795,4,61,2,0.91378975
407554.40595106815,4360580.277999514,2.1244392,4,66,2,1.0622196
407579.40595106815,4360580.277999514,2.562584,4,69,3,1.281292
407604.40595106815,4360580.277999514,2.8671799,5,68,3,1.4335899
407254.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360555.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360555.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360555.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360555.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360555.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407454.40595106815,4360555.277999514,3.8306007,4,69,3,1.9153004
407479.40595106815,4360555.277999514,4.844818,4,69,4,2.422409
407504.40595106815,4360555.277999514,4.5812035,4,69,4,2.2906017
407529.40595106815,4360555.277999514,1.8655548,4,69,2,0.9327774
407554.40595106815,4360555.277999514,2.0035782,4,62,2,1.0017891
407579.40595106815,4360555.277999514,2.5288582,4,62,3,1.2644291
407254.40595106815,4360530.277999514,0.0,-1,0,0,0.0
407279.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407304.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407329.40595106815,4360530.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407354.40595106815,4360530.277999514,0.0,-1,0,0,0.0
407379.40595106815,4360530.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407404.40595106815,4360530.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360530.277999514,0.86533356,21,49,1,0.43266678
407454.40595106815,4360530.277999514,4.5743256,4,69,4,2.2871628
407479.40595106815,4360530.277999514,4.9230156,4,69,4,2.4615078
407504.40595106815,4360530.277999514,3.149269,4,69,3,1.5746346
407529.40595106815,4360530.277999514,1.8623772,4,69,2,0.9311886
407554.40595106815,4360530.277999514,1.7910461,15,58,2,0.8955231
407579.40595106815,4360530.277999514,2.2514763,16,57,2,1.1257381
407229.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407254.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407329.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360505.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360505.277999514,0.0,-1,0,0,0.0
407429.40595106815,4360505.277999514,3.675251,4,69,3,1.8376255
407454.40595106815,4360505.277999514,4.265785,4,69,4,2.1328926
407479.40595106815,4360505.277999514,4.533375,4,69,4,2.2666874
407504.40595106815,4360505.277999514,2.1383286,4,69,2,1.0691643
407529.40595106815,4360505.277999514,1.9899292,4,69,2,0.9949646
407554.40595106815,4360505.277999514,2.0016975,16,57,2,1.0008488
407579.40595106815,4360505.277999514,1.7181816,17,56,2,0.8590908
407229.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407254.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407279.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407304.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407329.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407354.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407379.40595106815,4360480.277999514,0.0,-1,0,0,0.0
407404.40595106815,4360480.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407429.40595106815,4360480.277999514,3.8723984,4,69,3,1.9361992
407454.40595106815,4360480.277999514,3.5198708,4,69,3,1.7599354
407479.40595106815,4360480.277999514,1.6347885,17,56,2,0.81739426
407504.40595106815,4360480.277999514,1.7647171,15,58,2,0.88235855
407529.40595106815,4360480.277999514,1.8730774,15,58,2,0.9365387
407554.40595106815,4360480.277999514,1.3659973,20,53,1,0.68299866
407579.40595106815,4360480.277999514,0.12827301,24,41,0,0.064136505
407204.40595106815,4360455.277999514,0.0,-1,0,0,0.0
407229.40595106815,4360455.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
